Instance,Best Objective,Avg Objective,Avg Time (s)
U_100_1.0_Num_1_pd.txt,885.0800000000002,885.0800000000002,43.510180711746216
U_100_1.0_Num_2_pd.txt,955.24,955.24,50.20388746261597
U_100_1.0_Num_3_pd.txt,982.04,982.04,59.82071661949158
U_100_1.0_Num_4_pd.txt,888.6000000000003,888.6000000000003,52.26858687400818
U_100_1.0_Num_5_pd.txt,872.2399999999999,872.2399999999999,42.13498044013977
U_10_0.5_Num_1_pd.txt,163.76,163.76,1.313124179840088
U_10_0.5_Num_2_pd.txt,185.92,185.92,1.2901837825775146
U_10_0.5_Num_3_pd.txt,165.84,165.84,1.299309492111206
U_10_0.5_Num_4_pd.txt,204.76,204.76,1.2907156944274902
U_10_0.5_Num_5_pd.txt,138.88,138.88,1.2221760749816895
U_10_1.0_Num_1_pd.txt,205.39999999999998,205.39999999999998,1.0076587200164795
U_10_1.0_Num_2_pd.txt,253.83999999999997,253.83999999999997,1.5937507152557373
U_10_1.0_Num_3_pd.txt,199.64000000000001,199.64000000000001,1.1379239559173584
U_10_1.0_Num_4_pd.txt,286.72,286.72,1.6069679260253906
U_10_1.0_Num_5_pd.txt,204.2,204.2,1.4989678859710693
U_10_1.5_Num_1_pd.txt,238.2108969731232,238.2108969731232,1.4890713691711426
U_10_1.5_Num_2_pd.txt,200.39999999999998,200.39999999999998,1.1111483573913574
U_10_1.5_Num_3_pd.txt,270.94943538561597,270.94943538561597,1.7045092582702637
U_10_1.5_Num_4_pd.txt,420.48,420.48,1.4713068008422852
U_10_1.5_Num_5_pd.txt,275.85368670957945,275.85368670957945,1.653761386871338
U_15_0.5_Num_1_pd.txt,241.32,241.32,3.1543915271759033
U_15_0.5_Num_2_pd.txt,221.40000000000003,221.40000000000003,2.970649242401123
U_15_0.5_Num_3_pd.txt,238.07999999999996,238.07999999999996,2.249760150909424
U_15_0.5_Num_4_pd.txt,216.39999999999998,216.39999999999998,2.3889546394348145
U_15_0.5_Num_5_pd.txt,180.39999999999998,180.39999999999998,3.126319169998169
U_15_1.0_Num_1_pd.txt,292.71999999999997,292.71999999999997,2.802919387817383
U_15_1.0_Num_2_pd.txt,307.0,307.0,3.1671900749206543
U_15_1.0_Num_3_pd.txt,335.2,335.2,2.713402032852173
U_15_1.0_Num_4_pd.txt,316.6748791160047,316.6748791160047,3.298302173614502
U_15_1.0_Num_5_pd.txt,254.84000000000003,254.84000000000003,3.375588893890381
U_15_1.5_Num_1_pd.txt,405.5001348717371,405.5001348717371,2.9155335426330566
U_15_1.5_Num_2_pd.txt,320.11999999999995,320.11999999999995,3.0895485877990723
U_15_1.5_Num_3_pd.txt,333.6,333.6,0.48565006256103516
U_15_1.5_Num_4_pd.txt,335.28000000000003,335.28000000000003,3.0419957637786865
U_15_1.5_Num_5_pd.txt,320.12000000000006,320.12000000000006,2.8551554679870605
U_20_0.5_Num_1_pd.txt,250.75999999999996,250.75999999999996,5.515359163284302
U_20_0.5_Num_2_pd.txt,261.00000000000006,261.00000000000006,5.621567964553833
U_20_0.5_Num_3_pd.txt,303.84000000000003,303.84000000000003,6.922105550765991
U_20_0.5_Num_4_pd.txt,249.03999999999996,249.03999999999996,6.620112657546997
U_20_0.5_Num_5_pd.txt,253.76000000000002,253.76000000000002,4.380329370498657
U_20_1.0_Num_1_pd.txt,337.9012433193524,337.9012433193524,6.249287843704224
U_20_1.0_Num_2_pd.txt,395.0799999999999,395.0799999999999,5.641123533248901
U_20_1.0_Num_3_pd.txt,396.03999999999996,396.03999999999996,6.700085639953613
U_20_1.0_Num_4_pd.txt,323.2,323.2,5.671178817749023
U_20_1.0_Num_5_pd.txt,367.64,367.64,5.567067861557007
U_20_1.5_Num_1_pd.txt,442.44,442.44,5.856919765472412
U_20_1.5_Num_2_pd.txt,390.84,390.84,6.902671575546265
U_20_1.5_Num_3_pd.txt,431.76,431.76,6.0434770584106445
U_20_1.5_Num_4_pd.txt,434.03999999999996,434.03999999999996,5.291180849075317
U_20_1.5_Num_5_pd.txt,432.3200000000001,432.3200000000001,5.190932512283325
U_30_0.5_Num_1_pd.txt,356.08000000000004,356.08000000000004,16.01270318031311
U_30_0.5_Num_2_pd.txt,326.55999999999995,326.55999999999995,14.530561685562134
U_30_0.5_Num_3_pd.txt,297.44,297.44,14.65005874633789
U_30_0.5_Num_4_pd.txt,325.28000000000003,325.28000000000003,13.46597695350647
U_30_0.5_Num_5_pd.txt,347.2,347.2,12.310835599899292
U_30_1.0_Num_1_pd.txt,447.48,447.48,16.250757932662964
U_30_1.0_Num_2_pd.txt,408.6400000000001,408.6400000000001,14.180699348449707
U_30_1.0_Num_3_pd.txt,419.08,419.08,15.150535106658936
U_30_1.0_Num_4_pd.txt,477.3199999999999,477.3199999999999,11.994446992874146
U_30_1.0_Num_5_pd.txt,456.3200000000001,456.3200000000001,12.097440719604492
U_30_1.5_Num_1_pd.txt,577.72,577.72,12.71654748916626
U_30_1.5_Num_2_pd.txt,518.5999999999999,518.5999999999999,13.335358142852783
U_30_1.5_Num_3_pd.txt,483.12,483.12,14.162304878234863
U_30_1.5_Num_4_pd.txt,562.1199999999999,562.1199999999999,14.732688426971436
U_30_1.5_Num_5_pd.txt,570.28,570.28,13.45127534866333
U_40_0.5_Num_1_pd.txt,394.8399999999999,394.8399999999999,21.53308415412903
U_40_0.5_Num_2_pd.txt,389.44,389.44,19.686286211013794
U_40_0.5_Num_3_pd.txt,401.44000000000005,401.44000000000005,19.733750581741333
U_40_0.5_Num_4_pd.txt,410.5599999999999,410.5599999999999,20.38593292236328
